epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0558,2.13745,3.89121,2.02588,0.00362,1,0.33379,0.12291,1.70458,4.12922,1.75868,0.00012861,0.00012861,0.00012861
2,83.3828,1.59967,3.49633,1.66521,0.00484,0.94444,0.50672,0.27709,1.25569,3.83218,1.40557,0.000269718,0.000269718,0.000269718
3,114.468,1.54457,3.10552,1.54497,0.004,1,0.69839,0.48359,1.07593,3.6215,1.27391,0.00040894,0.00040894,0.00040894
4,144.338,1.36962,2.52175,1.38867,0.00324,1,0.6999,0.44496,1.23217,3.50736,1.48484,0.000546275,0.000546275,0.000546275
5,174.112,1.33621,2.18303,1.40395,0.16065,0.88889,0.71826,0.42677,1.47011,3.33559,1.73608,0.000681724,0.000681724,0.000681724
6,203.655,1.30537,2.04398,1.37641,0.85087,0.38889,0.79953,0.512,1.25012,3.04162,1.5465,0.000815287,0.000815287,0.000815287
7,233.239,1.42173,2.0165,1.44695,0.85087,0.38889,0.79953,0.512,1.25012,3.04162,1.5465,0.000946964,0.000946964,0.000946964
8,262.936,1.2547,2.06279,1.31629,0.8728,0.38022,0.85645,0.53677,1.23516,3.0935,1.55393,0.00107675,0.00107675,0.00107675
9,294.016,1.39938,2.0653,1.30745,0.81949,0.75292,0.78853,0.53409,1.31443,2.56373,1.51473,0.00120466,0.00120466,0.00120466
10,323.723,1.45175,1.95666,1.30038,0.81949,0.75292,0.78853,0.53409,1.31443,2.56373,1.51473,0.00133068,0.00133068,0.00133068
11,353.403,1.21255,1.88167,1.25627,0.59804,0.74241,0.76012,0.48109,1.47389,2.68701,1.67773,0.00133469,0.00133469,0.00133469
12,382.831,1.27654,2.01708,1.25845,0.45142,0.82417,0.68516,0.39394,1.63507,3.92231,1.82388,0.00132525,0.00132525,0.00132525
13,412.241,1.23218,1.75438,1.29176,0.45142,0.82417,0.68516,0.39394,1.63507,3.92231,1.82388,0.00131582,0.00131582,0.00131582
14,442.077,1.14066,1.72967,1.25852,0.60114,0.57911,0.68084,0.45218,1.5894,3.01017,1.80882,0.00130639,0.00130639,0.00130639
15,471.276,1.23123,1.78582,1.29911,0.96492,0.66667,0.74005,0.51884,1.37983,2.44986,1.56682,0.00129696,0.00129696,0.00129696
16,501.497,1.22444,1.89752,1.37481,0.96492,0.66667,0.74005,0.51884,1.37983,2.44986,1.56682,0.00128753,0.00128753,0.00128753
17,531.474,1.15986,1.76198,1.32149,0.94191,0.72222,0.77066,0.49665,1.47306,2.91362,1.67268,0.0012781,0.0012781,0.0012781
18,560.972,1.20658,1.639,1.24626,0.94191,0.72222,0.77066,0.49665,1.47306,2.91362,1.67268,0.00126867,0.00126867,0.00126867
19,590.414,1.2287,1.69744,1.32617,0.79296,0.6298,0.8022,0.53316,1.28694,2.72717,1.51931,0.00125923,0.00125923,0.00125923
20,619.543,1.23154,1.63862,1.3198,0.9128,0.64182,0.7558,0.49165,1.46816,2.72604,1.80511,0.0012498,0.0012498,0.0012498
21,652.126,1.10863,1.6067,1.2666,0.9128,0.64182,0.7558,0.49165,1.46816,2.72604,1.80511,0.00124037,0.00124037,0.00124037
22,684.886,1.17635,1.62276,1.23514,0.94141,0.66667,0.73509,0.44578,1.61374,3.61482,1.99443,0.00123094,0.00123094,0.00123094
23,714.447,1.06306,1.70203,1.17795,0.95202,0.72222,0.84517,0.50364,1.46681,2.53387,1.81393,0.00122151,0.00122151,0.00122151
24,743.744,1.19674,1.58726,1.2451,0.95202,0.72222,0.84517,0.50364,1.46681,2.53387,1.81393,0.00121208,0.00121208,0.00121208
25,773.269,1.18553,1.73915,1.2834,0.7889,0.88889,0.86527,0.59187,1.25342,2.38054,1.49892,0.00120265,0.00120265,0.00120265
26,803.059,1.16682,1.67798,1.19663,0.7889,0.88889,0.86527,0.59187,1.25342,2.38054,1.49892,0.00119322,0.00119322,0.00119322
27,832.849,1.25536,1.53924,1.29218,0.92677,0.85702,0.86163,0.57738,1.31421,2.1957,1.46503,0.00118378,0.00118378,0.00118378
28,862.317,1.20893,1.70487,1.29072,0.84981,0.86848,0.86212,0.54182,1.4399,2.085,1.62648,0.00117435,0.00117435,0.00117435
29,891.34,1.16216,1.50544,1.2547,0.84981,0.86848,0.86212,0.54182,1.4399,2.085,1.62648,0.00116492,0.00116492,0.00116492
30,920.585,1.18147,1.52167,1.26476,0.885,0.83333,0.81753,0.54387,1.4726,2.07624,1.6479,0.00115549,0.00115549,0.00115549
31,949.881,1.19369,1.50515,1.22758,0.713,0.83333,0.81287,0.56267,1.35331,2.02997,1.50801,0.00114606,0.00114606,0.00114606
32,978.743,1.0709,1.5579,1.23763,0.713,0.83333,0.81287,0.56267,1.35331,2.02997,1.50801,0.00113663,0.00113663,0.00113663
33,1008.31,1.14388,1.50194,1.20272,0.82507,0.72222,0.75992,0.50626,1.39079,2.05903,1.44317,0.0011272,0.0011272,0.0011272
34,1037.76,1.01016,1.43941,1.15411,0.82507,0.72222,0.75992,0.50626,1.39079,2.05903,1.44317,0.00111776,0.00111776,0.00111776
35,1067.26,1.06769,1.32263,1.17781,0.73522,0.83333,0.77649,0.46988,1.52613,1.99186,1.54865,0.00110833,0.00110833,0.00110833
36,1096.64,1.16053,1.52811,1.211,0.82041,0.72222,0.76723,0.49169,1.56928,2.01972,1.62598,0.0010989,0.0010989,0.0010989
37,1125.61,1.02214,1.32716,1.19843,0.82041,0.72222,0.76723,0.49169,1.56928,2.01972,1.62598,0.00108947,0.00108947,0.00108947
38,1154.73,1.12379,1.35537,1.21898,0.85878,0.72222,0.73994,0.53018,1.49574,2.06011,1.61131,0.00108004,0.00108004,0.00108004
39,1184.18,1.04427,1.32893,1.20412,0.88435,0.72222,0.72825,0.518,1.35465,2.33016,1.53633,0.00107061,0.00107061,0.00107061
40,1213.74,1.11922,1.39695,1.15813,0.88435,0.72222,0.72825,0.518,1.35465,2.33016,1.53633,0.00106118,0.00106118,0.00106118
